episode,average_score,best_score
1,-500.0,-500.0
2,-500.0,-500.0
3,-500.0,-500.0
4,-500.0,-500.0
5,-488.8,-488.8
6,-490.6666666666667,-488.8
7,-492.0,-488.8
8,-493.0,-488.8
9,-488.8888888888889,-488.8
10,-490.0,-488.8
11,-490.90909090909093,-488.8
12,-491.6666666666667,-488.8
13,-480.9230769230769,-480.9230769230769
14,-473.42857142857144,-473.42857142857144
15,-475.2,-473.42857142857144
16,-469.1875,-469.1875
17,-471.0,-469.1875
18,-469.8333333333333,-469.1875
19,-471.42105263157896,-469.1875
20,-469.7,-469.1875
21,-461.57142857142856,-461.57142857142856
22,-463.3181818181818,-461.57142857142856
23,-464.9130434782609,-461.57142857142856
24,-466.375,-461.57142857142856
25,-459.08,-459.08
26,-454.46153846153845,-454.46153846153845
27,-452.25925925925924,-452.25925925925924
28,-452.17857142857144,-452.17857142857144
29,-453.82758620689657,-452.17857142857144
30,-454.1666666666667,-452.17857142857144
31,-450.16129032258067,-450.16129032258067
32,-449.71875,-449.71875
33,-448.969696969697,-448.969696969697
34,-445.70588235294116,-445.70588235294116
35,-447.25714285714287,-445.70588235294116
36,-443.8888888888889,-443.8888888888889
37,-443.0810810810811,-443.0810810810811
38,-439.2631578947368,-439.2631578947368
39,-440.8205128205128,-439.2631578947368
40,-442.3,-439.2631578947368
41,-441.2439024390244,-439.2631578947368
42,-438.2857142857143,-438.2857142857143
43,-433.6511627906977,-433.6511627906977
44,-433.77272727272725,-433.6511627906977
45,-432.8666666666667,-432.8666666666667
46,-434.2826086956522,-432.8666666666667
47,-432.3829787234043,-432.3829787234043
48,-430.5416666666667,-430.5416666666667
49,-427.9795918367347,-427.9795918367347
50,-426.8,-426.8
51,-427.5686274509804,-426.8
52,-427.96153846153845,-426.8
53,-426.0566037735849,-426.0566037735849
54,-427.4259259259259,-426.0566037735849
55,-425.56363636363636,-425.56363636363636
56,-426.89285714285717,-425.56363636363636
57,-424.3859649122807,-424.3859649122807
58,-423.32758620689657,-423.32758620689657
59,-423.64406779661016,-423.32758620689657
60,-424.0,-423.32758620689657
61,-421.1803278688525,-421.1803278688525
62,-422.4516129032258,-421.1803278688525
63,-422.3968253968254,-421.1803278688525
64,-422.5,-421.1803278688525
65,-419.6307692307692,-419.6307692307692
66,-417.57575757575756,-417.57575757575756
67,-417.67164179104475,-417.57575757575756
68,-418.88235294117646,-417.57575757575756
69,-416.8695652173913,-416.8695652173913
70,-416.2,-416.2
71,-415.5633802816901,-415.5633802816901
72,-415.94444444444446,-415.5633802816901
73,-417.09589041095893,-415.5633802816901
74,-414.2162162162162,-414.2162162162162
75,-411.26666666666665,-411.26666666666665
76,-409.5394736842105,-409.5394736842105
77,-407.16883116883116,-407.16883116883116
78,-407.5,-407.16883116883116
79,-406.0886075949367,-406.0886075949367
80,-404.725,-404.725
81,-402.41975308641975,-402.41975308641975
82,-400.2439024390244,-400.2439024390244
83,-400.04819277108436,-400.04819277108436
84,-399.1666666666667,-399.1666666666667
85,-396.6470588235294,-396.6470588235294
86,-395.19767441860466,-395.19767441860466
87,-393.11494252873564,-393.11494252873564
88,-391.4318181818182,-391.4318181818182
89,-389.34831460674155,-389.34831460674155
90,-387.93333333333334,-387.93333333333334
91,-385.3626373626374,-385.3626373626374
92,-383.29347826086956,-383.29347826086956
93,-382.21505376344084,-382.21505376344084
94,-380.8829787234043,-380.8829787234043
95,-379.2842105263158,-379.2842105263158
96,-377.875,-377.875
97,-376.4020618556701,-376.4020618556701
98,-374.16326530612247,-374.16326530612247
99,-373.3131313131313,-373.3131313131313
100,-371.88,-371.88
101,-369.13,-369.13
102,-366.19,-366.19
103,-363.12,-363.12
104,-360.44,-360.44
105,-359.47,-359.47
106,-357.14,-357.14
107,-354.79,-354.79
108,-351.42,-351.42
109,-348.2,-348.2
110,-344.99,-344.99
111,-342.21,-342.21
112,-339.26,-339.26
113,-337.36,-337.36
114,-335.38,-335.38
115,-332.45,-332.45
116,-330.87,-330.87
117,-327.91,-327.91
118,-324.86,-324.86
119,-322.05,-322.05
120,-318.9,-318.9
121,-317.85,-317.85
122,-314.89,-314.89
123,-311.3,-311.3
124,-307.99,-307.99
125,-307.05,-307.05
126,-306.11,-306.11
127,-303.75,-303.75
128,-302.23,-302.23
129,-299.15,-299.15
130,-296.49,-296.49
131,-295.19,-295.19
132,-292.44,-292.44
133,-289.95,-289.95
134,-288.83,-288.83
135,-286.37,-286.37
136,-285.22,-285.22
137,-284.54,-284.54
138,-283.42,-283.42
139,-280.62,-280.62
140,-277.43,-277.43
141,-275.15,-275.15
142,-273.73,-273.73
143,-273.2,-273.2
144,-271.07,-271.07
145,-268.62,-268.62
146,-265.53,-265.53
147,-264.18,-264.18
148,-262.59,-262.59
149,-261.03,-261.03
