episode,average_score,best_score
1,980.0,980.0
2,1185.0,1185.0
3,876.6666666666666,1185.0
4,752.5,1185.0
5,738.0,1185.0
6,778.3333333333334,1185.0
7,742.8571428571429,1185.0
8,817.5,1185.0
9,757.7777777777778,1185.0
10,887.0,1185.0
11,825.4545454545455,1185.0
12,948.3333333333334,1185.0
13,916.1538461538462,1185.0
14,892.1428571428571,1185.0
15,846.6666666666666,1185.0
16,823.75,1185.0
17,809.4117647058823,1185.0
18,818.8888888888889,1185.0
19,844.2105263157895,1185.0
20,833.5,1185.0
21,856.6666666666666,1185.0
22,862.2727272727273,1185.0
23,876.0869565217391,1185.0
24,863.75,1185.0
25,848.4,1185.0
26,840.0,1185.0
27,832.2222222222222,1185.0
28,853.2142857142857,1185.0
29,870.6896551724138,1185.0
30,889.0,1185.0
31,867.741935483871,1185.0
32,860.3125,1185.0
33,879.3939393939394,1185.0
34,858.8235294117648,1185.0
35,842.2857142857143,1185.0
36,841.9444444444445,1185.0
37,840.2702702702703,1185.0
38,832.1052631578947,1185.0
39,828.2051282051282,1185.0
40,820.25,1185.0
41,829.0243902439024,1185.0
42,840.2380952380952,1185.0
43,825.5813953488372,1185.0
44,838.8636363636364,1185.0
45,850.6666666666666,1185.0
46,842.1739130434783,1185.0
47,853.8297872340426,1185.0
48,844.5833333333334,1185.0
49,838.1632653061224,1185.0
50,837.0,1185.0
51,825.0980392156863,1185.0
52,830.0,1185.0
53,828.1132075471698,1185.0
54,826.2962962962963,1185.0
55,825.4545454545455,1185.0
56,835.0,1185.0
57,842.8070175438596,1185.0
58,832.7586206896551,1185.0
59,825.0847457627119,1185.0
60,821.5,1185.0
61,814.2622950819672,1185.0
62,818.5483870967741,1185.0
63,809.2063492063492,1185.0
64,804.53125,1185.0
65,802.6153846153846,1185.0
66,810.7575757575758,1185.0
67,814.0298507462686,1185.0
68,821.1764705882352,1185.0
69,822.0289855072464,1185.0
70,820.0,1185.0
71,823.6619718309859,1185.0
72,815.1388888888889,1185.0
73,830.0,1185.0
74,828.6486486486486,1185.0
75,837.8666666666667,1185.0
76,843.6842105263158,1185.0
77,840.2597402597403,1185.0
78,837.5641025641025,1185.0
79,836.2025316455696,1185.0
80,834.25,1185.0
81,826.7901234567901,1185.0
82,826.829268292683,1185.0
83,827.4698795180723,1185.0
84,832.8571428571429,1185.0
