episode,average_score,best_score
1,572.0,572.0
2,484.0,572.0
3,425.3333333333333,572.0
4,407.0,572.0
5,404.8,572.0
6,388.6666666666667,572.0
7,377.14285714285717,572.0
8,390.5,572.0
9,381.3333333333333,572.0
10,356.4,572.0
11,372.0,572.0
12,381.3333333333333,572.0
13,382.46153846153845,572.0
14,389.7142857142857,572.0
15,375.46666666666664,572.0
16,382.25,572.0
17,367.52941176470586,572.0
18,364.22222222222223,572.0
19,375.1578947368421,572.0
20,378.4,572.0
21,381.3333333333333,572.0
22,392.0,572.0
23,392.17391304347825,572.0
24,388.6666666666667,572.0
25,378.4,572.0
26,387.53846153846155,572.0
27,386.22222222222223,572.0
28,380.2857142857143,572.0
29,383.86206896551727,572.0
30,388.6666666666667,572.0
31,381.80645161290323,572.0
32,383.625,572.0
33,390.6666666666667,572.0
34,390.8235294117647,572.0
35,389.7142857142857,572.0
36,383.77777777777777,572.0
37,384.1081081081081,572.0
38,386.7368421052632,572.0
39,383.5897435897436,572.0
40,396.5,572.0
41,395.4146341463415,572.0
42,390.1904761904762,572.0
43,396.4651162790698,572.0
44,402.45454545454544,572.0
45,408.1777777777778,572.0
46,406.95652173913044,572.0
47,402.97872340425533,572.0
48,402.8333333333333,572.0
49,402.6938775510204,572.0
50,399.92,572.0
51,401.5686274509804,572.0
52,395.53846153846155,572.0
53,396.37735849056605,572.0
54,392.2962962962963,572.0
55,390.76363636363635,572.0
56,389.2857142857143,572.0
57,394.03508771929825,572.0
58,394.82758620689657,572.0
59,389.6271186440678,572.0
60,391.2,572.0
61,388.39344262295083,572.0
62,387.0967741935484,572.0
63,387.23809523809524,572.0
64,388.0625,572.0
65,387.5076923076923,572.0
66,386.3030303030303,572.0
67,385.7910447761194,572.0
68,389.1764705882353,572.0
69,391.18840579710144,572.0
70,388.74285714285713,572.0
71,386.36619718309856,572.0
72,387.1111111111111,572.0
73,390.24657534246575,572.0
74,393.8918918918919,572.0
75,394.50666666666666,572.0
