episode,average_score,best_score
1,27.0,27.0
2,25.5,27.0
3,28.0,28.0
4,24.25,28.0
5,22.4,28.0
6,23.833333333333332,28.0
7,22.285714285714285,28.0
8,22.25,28.0
9,20.88888888888889,28.0
10,20.0,28.0
11,19.09090909090909,28.0
12,20.25,28.0
13,20.153846153846153,28.0
14,19.571428571428573,28.0
15,20.8,28.0
16,21.8125,28.0
17,21.58823529411765,28.0
18,21.38888888888889,28.0
19,21.0,28.0
20,21.0,28.0
21,21.952380952380953,28.0
22,21.863636363636363,28.0
23,22.217391304347824,28.0
24,23.791666666666668,28.0
25,23.52,28.0
26,23.615384615384617,28.0
27,25.51851851851852,28.0
28,25.714285714285715,28.0
29,25.448275862068964,28.0
30,25.133333333333333,28.0
31,25.258064516129032,28.0
32,25.40625,28.0
33,25.03030303030303,28.0
34,25.0,28.0
35,25.4,28.0
36,25.666666666666668,28.0
37,25.216216216216218,28.0
38,27.31578947368421,28.0
39,27.53846153846154,28.0
40,28.175,28.175
41,29.682926829268293,29.682926829268293
42,29.976190476190474,29.976190476190474
43,29.674418604651162,29.976190476190474
44,29.522727272727273,29.976190476190474
45,29.4,29.976190476190474
46,29.108695652173914,29.976190476190474
47,28.78723404255319,29.976190476190474
48,28.958333333333332,29.976190476190474
49,28.979591836734695,29.976190476190474
50,28.94,29.976190476190474
51,28.54901960784314,29.976190476190474
52,30.28846153846154,30.28846153846154
53,30.30188679245283,30.30188679245283
54,30.296296296296298,30.30188679245283
55,30.054545454545455,30.30188679245283
56,30.232142857142858,30.30188679245283
57,30.12280701754386,30.30188679245283
58,29.879310344827587,30.30188679245283
59,29.93220338983051,30.30188679245283
60,30.066666666666666,30.30188679245283
61,29.885245901639344,30.30188679245283
62,29.838709677419356,30.30188679245283
63,29.952380952380953,30.30188679245283
64,30.0,30.30188679245283
65,30.076923076923077,30.30188679245283
66,30.151515151515152,30.30188679245283
67,30.044776119402986,30.30188679245283
68,29.794117647058822,30.30188679245283
69,29.753623188405797,30.30188679245283
70,30.285714285714285,30.30188679245283
71,30.338028169014084,30.338028169014084
72,31.069444444444443,31.069444444444443
73,31.89041095890411,31.89041095890411
74,31.972972972972972,31.972972972972972
75,32.14666666666667,32.14666666666667
76,32.36842105263158,32.36842105263158
77,32.857142857142854,32.857142857142854
78,32.76923076923077,32.857142857142854
79,32.721518987341774,32.857142857142854
80,32.6125,32.857142857142854
81,32.72839506172839,32.857142857142854
82,33.03658536585366,33.03658536585366
83,33.31325301204819,33.31325301204819
84,33.30952380952381,33.31325301204819
85,33.45882352941177,33.45882352941177
86,33.68604651162791,33.68604651162791
87,33.57471264367816,33.68604651162791
88,34.20454545454545,34.20454545454545
89,34.235955056179776,34.235955056179776
90,34.144444444444446,34.235955056179776
91,34.505494505494504,34.505494505494504
92,34.48913043478261,34.505494505494504
93,34.333333333333336,34.505494505494504
