episode,average_score,best_score
1,5390.0,5390.0
2,3767.5,5390.0
3,2946.3333333333335,5390.0
4,2794.75,5390.0
5,2816.8,5390.0
6,2608.6666666666665,5390.0
7,2568.8571428571427,5390.0
8,2507.25,5390.0
9,2461.8888888888887,5390.0
10,2302.5,5390.0
11,2359.909090909091,5390.0
12,2325.9166666666665,5390.0
13,2280.6923076923076,5390.0
14,2301.785714285714,5390.0
15,2268.4666666666667,5390.0
16,2207.125,5390.0
17,2123.3529411764707,5390.0
18,2027.388888888889,5390.0
19,2010.421052631579,5390.0
20,2033.2,5390.0
21,2006.4761904761904,5390.0
22,1950.7272727272727,5390.0
23,1905.391304347826,5390.0
24,1893.3333333333333,5390.0
25,1835.72,5390.0
26,1967.0,5390.0
27,2009.0,5390.0
28,2015.357142857143,5390.0
29,2127.3793103448274,5390.0
30,2119.1,5390.0
31,2179.3870967741937,5390.0
32,2161.25,5390.0
33,2124.090909090909,5390.0
34,2185.6176470588234,5390.0
35,2180.0285714285715,5390.0
36,2185.5833333333335,5390.0
37,2146.7297297297296,5390.0
38,2169.0263157894738,5390.0
39,2149.1794871794873,5390.0
40,2142.75,5390.0
41,2115.5365853658536,5390.0
42,2124.2619047619046,5390.0
43,2115.8837209302324,5390.0
44,2157.840909090909,5390.0
45,2140.3555555555554,5390.0
46,2135.217391304348,5390.0
47,2150.255319148936,5390.0
48,2142.0833333333335,5390.0
49,2145.4897959183672,5390.0
50,2152.92,5390.0
51,2153.901960784314,5390.0
52,2136.730769230769,5390.0
53,2132.4528301886794,5390.0
54,2111.0,5390.0
55,2082.690909090909,5390.0
56,2062.1428571428573,5390.0
57,2062.8070175438597,5390.0
58,2046.4310344827586,5390.0
59,2054.4745762711864,5390.0
60,2051.9333333333334,5390.0
61,2034.950819672131,5390.0
62,2048.532258064516,5390.0
63,2025.888888888889,5390.0
64,2047.9375,5390.0
65,2062.646153846154,5390.0
66,2046.7424242424242,5390.0
67,2041.1492537313434,5390.0
68,2039.1470588235295,5390.0
69,2054.463768115942,5390.0
70,2106.5857142857144,5390.0
71,2135.3802816901407,5390.0
72,2130.7916666666665,5390.0
73,2138.5616438356165,5390.0
74,2153.4324324324325,5390.0
75,2135.7066666666665,5390.0
76,2156.4605263157896,5390.0
77,2150.3636363636365,5390.0
78,2137.9358974358975,5390.0
79,2140.518987341772,5390.0
80,2180.825,5390.0
81,2171.395061728395,5390.0
82,2173.7926829268295,5390.0
83,2178.0963855421687,5390.0
84,2181.2619047619046,5390.0
85,2172.823529411765,5390.0
86,2172.5697674418607,5390.0
87,2177.0,5390.0
88,2161.590909090909,5390.0
89,2165.438202247191,5390.0
90,2165.322222222222,5390.0
91,2153.2087912087914,5390.0
92,2143.478260869565,5390.0
93,2131.3225806451615,5390.0
94,2142.0851063829787,5390.0
95,2155.9052631578948,5390.0
96,2161.5104166666665,5390.0
97,2153.8865979381444,5390.0
98,2147.408163265306,5390.0
99,2137.2727272727275,5390.0
100,2139.1,5390.0
101,2091.42,5390.0
102,2077.51,5390.0
103,2074.26,5390.0
104,2064.42,5390.0
105,2046.23,5390.0
106,2052.34,5390.0
107,2039.14,5390.0
108,2041.07,5390.0
109,2026.13,5390.0
110,2047.16,5390.0
111,2033.02,5390.0
112,2056.0,5390.0
113,2070.19,5390.0
114,2063.22,5390.0
115,2047.82,5390.0
116,2041.55,5390.0
117,2051.07,5390.0
118,2064.42,5390.0
119,2064.85,5390.0
120,2054.19,5390.0
121,2049.92,5390.0
122,2050.64,5390.0
123,2062.21,5390.0
124,2061.22,5390.0
125,2076.43,5390.0
126,2047.59,5390.0
127,2036.26,5390.0
128,2052.34,5390.0
129,2045.89,5390.0
130,2031.39,5390.0
131,2001.96,5390.0
132,2005.52,5390.0
133,2010.16,5390.0
134,1983.16,5390.0
135,2014.99,5390.0
136,2004.79,5390.0
137,2028.55,5390.0
138,2011.38,5390.0
139,2032.98,5390.0
140,2037.07,5390.0
141,2046.4,5390.0
142,2051.89,5390.0
143,2079.58,5390.0
144,2045.68,5390.0
145,2055.98,5390.0
146,2079.2,5390.0
147,2072.07,5390.0
148,2063.49,5390.0
149,2049.61,5390.0
150,2038.73,5390.0
151,2031.03,5390.0
152,2035.37,5390.0
153,2023.24,5390.0
154,2037.17,5390.0
155,2040.4,5390.0
156,2046.49,5390.0
157,2050.01,5390.0
158,2081.09,5390.0
159,2075.36,5390.0
160,2073.88,5390.0
161,2081.49,5390.0
162,2074.52,5390.0
163,2074.66,5390.0
164,2056.74,5390.0
165,2064.24,5390.0
166,2074.3,5390.0
167,2080.51,5390.0
168,2070.38,5390.0
169,2075.3,5390.0
170,2049.36,5390.0
171,2030.06,5390.0
172,2036.06,5390.0
173,2040.66,5390.0
174,2016.4,5390.0
175,2055.18,5390.0
176,2040.01,5390.0
177,2043.58,5390.0
178,2039.71,5390.0
179,2052.02,5390.0
180,2010.6,5390.0
181,2026.74,5390.0
182,2025.6,5390.0
183,2019.31,5390.0
184,2006.97,5390.0
185,2008.09,5390.0
186,2020.43,5390.0
187,2009.63,5390.0
188,2024.86,5390.0
189,2022.41,5390.0
190,2065.22,5390.0
191,2070.94,5390.0
192,2074.19,5390.0
193,2100.36,5390.0
194,2086.23,5390.0
195,2069.17,5390.0
196,2070.65,5390.0
197,2074.37,5390.0
198,2094.38,5390.0
199,2110.9,5390.0
200,2103.3,5390.0
201,2110.23,5390.0
202,2122.34,5390.0
203,2123.53,5390.0
204,2133.01,5390.0
205,2150.38,5390.0
206,2153.61,5390.0
207,2184.55,5390.0
208,2171.48,5390.0
209,2173.34,5390.0
210,2174.73,5390.0
211,2179.59,5390.0
212,2161.91,5390.0
213,2149.95,5390.0
214,2151.01,5390.0
215,2190.35,5390.0
216,2198.61,5390.0
217,2196.13,5390.0
218,2189.51,5390.0
219,2183.09,5390.0
220,2204.14,5390.0
221,2232.45,5390.0
222,2252.25,5390.0
223,2245.82,5390.0
224,2244.37,5390.0
225,2231.53,5390.0
226,2251.46,5390.0
227,2243.62,5390.0
228,2216.62,5390.0
229,2188.2,5390.0
230,2189.09,5390.0
231,2213.74,5390.0
232,2202.91,5390.0
233,2213.87,5390.0
234,2215.4,5390.0
235,2171.27,5390.0
236,2172.52,5390.0
237,2159.03,5390.0
238,2183.72,5390.0
239,2172.25,5390.0
240,2181.41,5390.0
241,2179.6,5390.0
242,2160.23,5390.0
243,2130.38,5390.0
244,2136.32,5390.0
245,2125.23,5390.0
246,2095.98,5390.0
247,2114.26,5390.0
248,2120.49,5390.0
249,2135.81,5390.0
250,2150.26,5390.0
251,2152.67,5390.0
252,2158.31,5390.0
253,2168.19,5390.0
254,2162.52,5390.0
255,2173.76,5390.0
256,2181.91,5390.0
257,2189.07,5390.0
258,2166.53,5390.0
259,2175.84,5390.0
260,2164.32,5390.0
261,2175.45,5390.0
262,2158.15,5390.0
263,2171.09,5390.0
264,2186.25,5390.0
265,2166.64,5390.0
266,2171.56,5390.0
267,2158.18,5390.0
268,2185.7,5390.0
269,2164.01,5390.0
270,2165.54,5390.0
271,2167.02,5390.0
272,2148.62,5390.0
273,2143.38,5390.0
274,2150.3,5390.0
275,2130.53,5390.0
276,2146.18,5390.0
277,2158.31,5390.0
278,2182.69,5390.0
279,2171.19,5390.0
280,2180.47,5390.0
281,2185.77,5390.0
282,2167.9,5390.0
283,2167.75,5390.0
284,2172.3,5390.0
285,2175.42,5390.0
286,2156.66,5390.0
287,2158.95,5390.0
288,2145.15,5390.0
289,2157.72,5390.0
290,2101.18,5390.0
291,2097.81,5390.0
292,2125.54,5390.0
293,2104.08,5390.0
294,2111.52,5390.0
295,2116.89,5390.0
296,2102.47,5390.0
297,2088.89,5390.0
298,2087.16,5390.0
299,2077.22,5390.0
300,2077.41,5390.0
301,2076.4,5390.0
302,2071.09,5390.0
303,2071.13,5390.0
304,2062.67,5390.0
305,2051.27,5390.0
306,2060.18,5390.0
307,2028.24,5390.0
308,2045.42,5390.0
309,2057.96,5390.0
310,2038.65,5390.0
311,2031.4,5390.0
312,2010.07,5390.0
313,2011.11,5390.0
314,1999.87,5390.0
315,2008.08,5390.0
316,2022.99,5390.0
317,2014.68,5390.0
318,2062.91,5390.0
319,2066.14,5390.0
320,2050.04,5390.0
321,2044.21,5390.0
322,2037.77,5390.0
323,2045.54,5390.0
324,2044.28,5390.0
325,2050.47,5390.0
326,2022.66,5390.0
327,2037.34,5390.0
328,2036.96,5390.0
329,2063.09,5390.0
330,2075.88,5390.0
331,2048.5,5390.0
332,2046.84,5390.0
333,2049.78,5390.0
334,2062.79,5390.0
335,2064.43,5390.0
336,2056.07,5390.0
337,2060.33,5390.0
338,2060.58,5390.0
339,2050.24,5390.0
340,2037.92,5390.0
341,2029.62,5390.0
342,2071.71,5390.0
343,2069.72,5390.0
344,2072.78,5390.0
345,2071.18,5390.0
346,2065.82,5390.0
347,2041.26,5390.0
348,2052.28,5390.0
349,2087.27,5390.0
350,2074.02,5390.0
351,2073.19,5390.0
352,2064.54,5390.0
353,2076.29,5390.0
354,2076.18,5390.0
355,2065.98,5390.0
356,2062.51,5390.0
357,2057.45,5390.0
358,2046.6,5390.0
359,2041.02,5390.0
360,2054.63,5390.0
361,2035.61,5390.0
362,2049.81,5390.0
363,2042.85,5390.0
364,2021.58,5390.0
365,2028.23,5390.0
366,2028.03,5390.0
367,2038.59,5390.0
368,2046.07,5390.0
369,2033.9,5390.0
370,2018.06,5390.0
371,2035.55,5390.0
372,2059.28,5390.0
373,2046.85,5390.0
374,2067.73,5390.0
375,2080.16,5390.0
376,2072.97,5390.0
377,2061.46,5390.0
378,2064.38,5390.0
379,2049.11,5390.0
380,2064.99,5390.0
381,2055.41,5390.0
382,2067.69,5390.0
383,2070.62,5390.0
384,2076.1,5390.0
385,2090.21,5390.0
386,2091.9,5390.0
