episode,average_score,best_score
1,100.0,100.0
2,100.0,100.0
3,133.33333333333334,133.33333333333334
4,150.0,150.0
5,140.0,150.0
6,150.0,150.0
7,171.42857142857142,171.42857142857142
8,150.0,171.42857142857142
9,155.55555555555554,171.42857142857142
10,150.0,171.42857142857142
11,163.63636363636363,171.42857142857142
12,175.0,175.0
13,161.53846153846155,175.0
14,157.14285714285714,175.0
15,153.33333333333334,175.0
16,150.0,175.0
17,152.94117647058823,175.0
18,166.66666666666666,175.0
19,168.42105263157896,175.0
20,165.0,175.0
21,166.66666666666666,175.0
22,163.63636363636363,175.0
23,160.8695652173913,175.0
24,154.16666666666666,175.0
25,156.0,175.0
26,153.84615384615384,175.0
27,151.85185185185185,175.0
28,153.57142857142858,175.0
29,148.27586206896552,175.0
30,143.33333333333334,175.0
31,138.70967741935485,175.0
32,143.75,175.0
33,139.3939393939394,175.0
34,135.2941176470588,175.0
35,134.28571428571428,175.0
36,133.33333333333334,175.0
37,129.72972972972974,175.0
38,128.94736842105263,175.0
39,128.2051282051282,175.0
40,127.5,175.0
41,131.70731707317074,175.0
42,130.95238095238096,175.0
43,132.5581395348837,175.0
44,129.54545454545453,175.0
45,128.88888888888889,175.0
46,128.2608695652174,175.0
47,129.7872340425532,175.0
48,131.25,175.0
49,128.57142857142858,175.0
50,126.0,175.0
51,125.49019607843137,175.0
52,128.84615384615384,175.0
53,128.30188679245282,175.0
54,127.77777777777777,175.0
55,127.27272727272727,175.0
56,126.78571428571429,175.0
57,126.3157894736842,175.0
58,125.86206896551724,175.0
59,128.8135593220339,175.0
60,128.33333333333334,175.0
61,127.8688524590164,175.0
62,127.41935483870968,175.0
63,130.15873015873015,175.0
64,131.25,175.0
65,132.30769230769232,175.0
66,133.33333333333334,175.0
67,132.83582089552237,175.0
68,132.35294117647058,175.0
69,133.33333333333334,175.0
70,132.85714285714286,175.0
71,132.3943661971831,175.0
72,133.33333333333334,175.0
73,132.87671232876713,175.0
74,132.43243243243242,175.0
75,132.0,175.0
76,131.57894736842104,175.0
77,131.16883116883116,175.0
78,133.33333333333334,175.0
79,131.64556962025316,175.0
80,131.25,175.0
81,130.8641975308642,175.0
82,130.4878048780488,175.0
83,130.12048192771084,175.0
84,130.95238095238096,175.0
85,130.58823529411765,175.0
86,130.2325581395349,175.0
87,133.33333333333334,175.0
88,132.95454545454547,175.0
89,132.58426966292134,175.0
90,131.11111111111111,175.0
91,134.06593406593407,175.0
92,133.69565217391303,175.0
93,134.40860215053763,175.0
94,134.04255319148936,175.0
95,134.73684210526315,175.0
96,135.41666666666666,175.0
97,135.05154639175257,175.0
98,133.6734693877551,175.0
99,135.35353535353536,175.0
100,137.0,175.0
101,137.0,175.0
102,139.0,175.0
103,138.0,175.0
104,137.0,175.0
105,137.0,175.0
106,136.0,175.0
107,134.0,175.0
108,135.0,175.0
109,134.0,175.0
110,135.0,175.0
111,134.0,175.0
112,135.0,175.0
