episode,average_score,best_score
1,-16.0,-16.0
2,-16.0,-16.0
3,-18.0,-16.0
4,-17.5,-16.0
5,-17.6,-16.0
6,-17.666666666666668,-16.0
7,-18.285714285714285,-16.0
8,-18.5,-16.0
9,-18.22222222222222,-16.0
10,-18.2,-16.0
11,-18.363636363636363,-16.0
12,-18.0,-16.0
13,-17.692307692307693,-16.0
14,-17.857142857142858,-16.0
15,-17.866666666666667,-16.0
16,-17.75,-16.0
17,-17.647058823529413,-16.0
18,-17.77777777777778,-16.0
19,-18.0,-16.0
20,-18.1,-16.0
21,-17.904761904761905,-16.0
22,-17.818181818181817,-16.0
23,-17.73913043478261,-16.0
24,-17.75,-16.0
25,-17.92,-16.0
26,-18.076923076923077,-16.0
27,-18.14814814814815,-16.0
28,-18.214285714285715,-16.0
29,-18.275862068965516,-16.0
30,-18.266666666666666,-16.0
31,-18.322580645161292,-16.0
32,-18.3125,-16.0
33,-18.181818181818183,-16.0
34,-18.11764705882353,-16.0
35,-18.114285714285714,-16.0
36,-18.22222222222222,-16.0
37,-18.10810810810811,-16.0
38,-18.157894736842106,-16.0
39,-18.0,-16.0
40,-17.9,-16.0
41,-18.048780487804876,-16.0
42,-18.142857142857142,-16.0
43,-18.13953488372093,-16.0
44,-18.227272727272727,-16.0
45,-18.266666666666666,-16.0
46,-18.304347826086957,-16.0
47,-18.340425531914892,-16.0
48,-18.375,-16.0
49,-18.448979591836736,-16.0
50,-18.52,-16.0
51,-18.54901960784314,-16.0
52,-18.53846153846154,-16.0
53,-18.528301886792452,-16.0
54,-18.48148148148148,-16.0
55,-18.472727272727273,-16.0
56,-18.535714285714285,-16.0
57,-18.56140350877193,-16.0
58,-18.551724137931036,-16.0
59,-18.54237288135593,-16.0
60,-18.633333333333333,-16.0
61,-18.62295081967213,-16.0
62,-18.548387096774192,-16.0
63,-18.603174603174605,-16.0
64,-18.59375,-16.0
65,-18.584615384615386,-16.0
66,-18.575757575757574,-16.0
67,-18.53731343283582,-16.0
68,-18.5,-16.0
69,-18.52173913043478,-16.0
70,-18.571428571428573,-16.0
71,-18.591549295774648,-16.0
72,-18.61111111111111,-16.0
73,-18.575342465753426,-16.0
74,-18.594594594594593,-16.0
75,-18.666666666666668,-16.0
76,-18.710526315789473,-16.0
77,-18.7012987012987,-16.0
78,-18.692307692307693,-16.0
79,-18.658227848101266,-16.0
80,-18.65,-16.0
81,-18.641975308641975,-16.0
82,-18.609756097560975,-16.0
83,-18.53012048192771,-16.0
84,-18.523809523809526,-16.0
85,-18.51764705882353,-16.0
86,-18.53488372093023,-16.0
87,-18.551724137931036,-16.0
88,-18.613636363636363,-16.0
89,-18.584269662921347,-16.0
90,-18.533333333333335,-16.0
91,-18.505494505494507,-16.0
92,-18.47826086956522,-16.0
93,-18.537634408602152,-16.0
94,-18.5531914893617,-16.0
95,-18.589473684210525,-16.0
96,-18.583333333333332,-16.0
97,-18.515463917525775,-16.0
98,-18.489795918367346,-16.0
99,-18.545454545454547,-16.0
100,-18.5,-16.0
101,-18.58,-16.0
102,-18.62,-16.0
103,-18.6,-16.0
104,-18.66,-16.0
105,-18.7,-16.0
106,-18.74,-16.0
107,-18.72,-16.0
108,-18.74,-16.0
109,-18.76,-16.0
110,-18.82,-16.0
111,-18.78,-16.0
