episode,average_score,best_score
1,540.0,540.0
2,390.0,540.0
3,293.3333333333333,540.0
4,265.0,540.0
5,236.0,540.0
6,206.66666666666666,540.0
7,188.57142857142858,540.0
8,227.5,540.0
9,215.55555555555554,540.0
10,216.0,540.0
11,216.36363636363637,540.0
12,266.6666666666667,540.0
13,267.6923076923077,540.0
14,265.7142857142857,540.0
15,280.0,540.0
16,288.75,540.0
17,290.5882352941176,540.0
18,282.22222222222223,540.0
19,300.0,540.0
20,304.0,540.0
21,295.23809523809524,540.0
22,300.90909090909093,540.0
23,293.04347826086956,540.0
24,316.6666666666667,540.0
25,332.0,540.0
26,322.3076923076923,540.0
27,316.2962962962963,540.0
28,310.7142857142857,540.0
29,303.44827586206895,540.0
30,298.0,540.0
31,305.80645161290323,540.0
32,310.0,540.0
33,316.969696969697,540.0
34,315.29411764705884,540.0
35,317.7142857142857,540.0
36,324.44444444444446,540.0
37,329.72972972972974,540.0
38,330.5263157894737,540.0
39,337.94871794871796,540.0
40,333.0,540.0
41,331.219512195122,540.0
42,335.7142857142857,540.0
43,334.4186046511628,540.0
44,330.45454545454544,540.0
45,337.77777777777777,540.0
46,330.8695652173913,540.0
47,333.1914893617021,540.0
48,335.0,540.0
49,331.83673469387753,540.0
50,342.4,540.0
51,347.84313725490193,540.0
52,342.6923076923077,540.0
53,342.64150943396226,540.0
54,341.48148148148147,540.0
55,340.3636363636364,540.0
56,342.5,540.0
57,337.89473684210526,540.0
58,337.9310344827586,540.0
59,334.5762711864407,540.0
60,344.0,540.0
61,350.8196721311475,540.0
62,348.38709677419354,540.0
63,350.4761904761905,540.0
64,347.5,540.0
65,345.53846153846155,540.0
66,347.8787878787879,540.0
67,345.97014925373134,540.0
68,347.3529411764706,540.0
69,344.92753623188406,540.0
70,341.42857142857144,540.0
71,352.11267605633805,540.0
72,349.72222222222223,540.0
73,355.6164383561644,540.0
74,355.4054054054054,540.0
75,353.8666666666667,540.0
76,360.5263157894737,540.0
77,361.038961038961,540.0
78,358.46153846153845,540.0
79,362.7848101265823,540.0
80,369.5,540.0
81,372.34567901234567,540.0
82,375.8536585365854,540.0
83,375.90361445783134,540.0
84,374.2857142857143,540.0
85,377.88235294117646,540.0
86,375.3488372093023,540.0
87,375.17241379310343,540.0
88,373.40909090909093,540.0
89,374.1573033707865,540.0
90,370.8888888888889,540.0
91,368.35164835164835,540.0
92,365.2173913043478,540.0
93,364.73118279569894,540.0
94,365.531914893617,540.0
95,362.7368421052632,540.0
96,362.7083333333333,540.0
97,367.21649484536084,540.0
98,366.3265306122449,540.0
99,362.62626262626264,540.0
100,363.4,540.0
101,360.6,540.0
102,360.8,540.0
103,362.4,540.0
104,366.6,540.0
105,371.6,540.0
106,372.8,540.0
107,374.2,540.0
108,373.4,540.0
109,373.4,540.0
110,372.0,540.0
111,370.6,540.0
112,367.4,540.0
113,365.8,540.0
114,366.4,540.0
115,363.2,540.0
116,362.6,540.0
117,361.0,540.0
118,367.6,540.0
119,362.6,540.0
120,369.8,540.0
121,371.2,540.0
122,367.2,540.0
123,367.6,540.0
124,362.4,540.0
125,361.6,540.0
126,362.8,540.0
127,368.2,540.0
128,370.8,540.0
129,375.6,540.0
130,384.0,540.0
131,382.2,540.0
132,382.8,540.0
133,378.8,540.0
134,380.8,540.0
135,382.2,540.0
136,381.8,540.0
137,379.2,540.0
138,381.4,540.0
139,382.8,540.0
140,385.0,540.0
141,386.0,540.0
142,383.0,540.0
143,381.0,540.0
144,382.0,540.0
145,376.8,540.0
146,381.6,540.0
147,379.0,540.0
148,376.0,540.0
149,375.0,540.0
150,370.4,540.0
151,364.6,540.0
152,365.0,540.0
153,369.2,540.0
154,368.0,540.0
155,368.2,540.0
156,369.4,540.0
157,376.0,540.0
158,374.0,540.0
159,375.8,540.0
160,369.2,540.0
161,366.8,540.0
162,370.8,540.0
163,374.6,540.0
164,373.4,540.0
165,379.8,540.0
166,377.8,540.0
167,377.4,540.0
168,375.2,540.0
169,381.0,540.0
170,383.8,540.0
171,373.4,540.0
172,373.6,540.0
173,371.6,540.0
174,369.8,540.0
175,368.8,540.0
176,361.8,540.0
177,362.8,540.0
178,367.6,540.0
179,362.8,540.0
180,356.8,540.0
181,352.4,540.0
182,351.8,540.0
183,354.8,540.0
184,358.4,540.0
185,352.6,540.0
186,352.6,540.0
187,351.6,540.0
188,359.8,540.0
189,357.2,540.0
190,360.0,540.0
191,364.8,540.0
192,367.2,540.0
193,369.6,540.0
194,366.8,540.0
195,370.4,540.0
196,368.4,540.0
197,364.2,540.0
198,366.2,540.0
199,373.4,540.0
200,372.8,540.0
201,374.6,540.0
202,372.6,540.0
203,373.0,540.0
204,376.8,540.0
205,372.2,540.0
206,371.2,540.0
207,376.2,540.0
208,374.2,540.0
209,373.8,540.0
210,378.4,540.0
211,379.6,540.0
212,379.0,540.0
213,379.4,540.0
214,379.8,540.0
215,382.4,540.0
216,380.4,540.0
217,385.0,540.0
218,378.8,540.0
219,378.0,540.0
220,369.6,540.0
221,369.6,540.0
222,370.4,540.0
223,377.8,540.0
224,377.0,540.0
225,371.8,540.0
226,371.4,540.0
227,367.0,540.0
228,365.0,540.0
229,362.2,540.0
230,360.8,540.0
231,360.0,540.0
232,360.6,540.0
233,361.0,540.0
234,359.6,540.0
235,355.4,540.0
236,354.4,540.0
237,353.0,540.0
238,348.0,540.0
239,344.8,540.0
240,345.2,540.0
241,343.0,540.0
242,349.4,540.0
243,352.8,540.0
244,354.8,540.0
245,360.6,540.0
246,357.4,540.0
247,359.2,540.0
248,362.0,540.0
249,363.4,540.0
250,362.6,540.0
251,363.8,540.0
252,365.2,540.0
253,358.4,540.0
254,361.8,540.0
255,362.4,540.0
256,360.6,540.0
257,355.8,540.0
258,359.2,540.0
259,364.2,540.0
260,364.2,540.0
261,363.2,540.0
262,360.0,540.0
263,352.2,540.0
264,354.4,540.0
265,353.2,540.0
266,356.6,540.0
267,358.6,540.0
268,359.6,540.0
269,354.6,540.0
270,351.8,540.0
271,354.6,540.0
272,355.2,540.0
273,350.6,540.0
274,355.0,540.0
275,356.2,540.0
276,359.8,540.0
277,356.4,540.0
278,350.8,540.0
279,349.6,540.0
280,348.0,540.0
281,348.0,540.0
282,345.2,540.0
283,346.2,540.0
284,340.4,540.0
285,346.6,540.0
286,346.2,540.0
287,348.4,540.0
288,339.4,540.0
289,341.2,540.0
290,341.0,540.0
291,345.6,540.0
292,346.8,540.0
293,343.6,540.0
294,347.0,540.0
295,345.0,540.0
296,344.2,540.0
297,348.2,540.0
298,348.2,540.0
299,343.2,540.0
300,341.6,540.0
301,338.6,540.0
302,340.0,540.0
303,338.6,540.0
304,332.4,540.0
305,335.8,540.0
306,338.6,540.0
307,331.8,540.0
308,330.4,540.0
309,332.2,540.0
310,330.8,540.0
