episode,average_score,best_score
1,400.0,400.0
2,350.0,400.0
3,266.6666666666667,400.0
4,300.0,400.0
5,420.0,420.0
6,400.0,420.0
7,371.42857142857144,420.0
8,350.0,420.0
9,377.77777777777777,420.0
10,380.0,420.0
11,390.90909090909093,420.0
12,400.0,420.0
13,392.3076923076923,420.0
14,421.42857142857144,421.42857142857144
15,453.3333333333333,453.3333333333333
16,431.25,453.3333333333333
17,417.6470588235294,453.3333333333333
18,400.0,453.3333333333333
19,378.94736842105266,453.3333333333333
20,380.0,453.3333333333333
21,380.95238095238096,453.3333333333333
22,377.27272727272725,453.3333333333333
23,378.2608695652174,453.3333333333333
24,400.0,453.3333333333333
25,388.0,453.3333333333333
26,373.0769230769231,453.3333333333333
27,377.77777777777777,453.3333333333333
28,378.57142857142856,453.3333333333333
29,379.3103448275862,453.3333333333333
30,380.0,453.3333333333333
31,380.64516129032256,453.3333333333333
32,381.25,453.3333333333333
33,390.90909090909093,453.3333333333333
34,394.11764705882354,453.3333333333333
35,391.42857142857144,453.3333333333333
36,391.6666666666667,453.3333333333333
37,397.2972972972973,453.3333333333333
38,392.10526315789474,453.3333333333333
39,407.6923076923077,453.3333333333333
40,397.5,453.3333333333333
41,404.8780487804878,453.3333333333333
42,395.23809523809524,453.3333333333333
43,397.6744186046512,453.3333333333333
44,395.45454545454544,453.3333333333333
45,393.3333333333333,453.3333333333333
46,391.30434782608694,453.3333333333333
47,395.74468085106383,453.3333333333333
48,397.9166666666667,453.3333333333333
49,408.16326530612247,453.3333333333333
50,404.0,453.3333333333333
51,405.88235294117646,453.3333333333333
52,401.9230769230769,453.3333333333333
53,398.1132075471698,453.3333333333333
54,401.85185185185185,453.3333333333333
55,407.27272727272725,453.3333333333333
56,401.7857142857143,453.3333333333333
57,396.49122807017545,453.3333333333333
58,391.37931034482756,453.3333333333333
59,393.22033898305085,453.3333333333333
60,393.3333333333333,453.3333333333333
61,395.08196721311475,453.3333333333333
62,398.38709677419354,453.3333333333333
63,403.1746031746032,453.3333333333333
