episode,average_score,best_score
1,-261.89180027329166,-261.89180027329166
2,-167.23782989318948,-167.23782989318948
3,-143.29795916542602,-143.29795916542602
4,-127.94357856433246,-127.94357856433246
5,-126.85445470648213,-126.85445470648213
6,-127.33666362606941,-126.85445470648213
7,-157.4473573006123,-126.85445470648213
8,-155.5606352555393,-126.85445470648213
9,-151.11996013651193,-126.85445470648213
10,-150.71634404471223,-126.85445470648213
11,-147.13200798879703,-126.85445470648213
12,-164.27592136823452,-126.85445470648213
13,-181.71944907460832,-126.85445470648213
14,-182.67784877052287,-126.85445470648213
15,-184.50546105950352,-126.85445470648213
16,-178.64307783019598,-126.85445470648213
17,-200.0266557225323,-126.85445470648213
18,-195.82792312960976,-126.85445470648213
19,-198.23639667761375,-126.85445470648213
20,-194.07804540642638,-126.85445470648213
21,-193.775913566641,-126.85445470648213
22,-195.14744835666568,-126.85445470648213
23,-193.57592283584555,-126.85445470648213
24,-197.50927462371646,-126.85445470648213
25,-193.90119453609168,-126.85445470648213
26,-191.53469817538715,-126.85445470648213
27,-193.06919417577924,-126.85445470648213
28,-187.44744786388486,-126.85445470648213
29,-187.72737898411827,-126.85445470648213
30,-184.19922615558278,-126.85445470648213
31,-183.9403066736158,-126.85445470648213
32,-189.3700255076023,-126.85445470648213
33,-188.52993740700282,-126.85445470648213
34,-189.77996995199396,-126.85445470648213
35,-196.80732978667066,-126.85445470648213
36,-197.10943147309618,-126.85445470648213
37,-194.52310556084254,-126.85445470648213
38,-191.0236079438379,-126.85445470648213
39,-193.91307493436886,-126.85445470648213
40,-192.6022994976401,-126.85445470648213
41,-197.1438928503101,-126.85445470648213
42,-196.64803227841276,-126.85445470648213
43,-194.30915138034703,-126.85445470648213
44,-191.4579493231494,-126.85445470648213
45,-192.0615247725349,-126.85445470648213
46,-191.6234535195579,-126.85445470648213
47,-189.93107336190758,-126.85445470648213
48,-188.76353835230339,-126.85445470648213
49,-185.86791791944563,-126.85445470648213
50,-186.69065606367022,-126.85445470648213
51,-188.54814806487806,-126.85445470648213
52,-186.6155075319408,-126.85445470648213
53,-184.84672066100808,-126.85445470648213
54,-184.06127645175323,-126.85445470648213
55,-183.87817675950149,-126.85445470648213
56,-182.580662303302,-126.85445470648213
57,-181.08006801026102,-126.85445470648213
58,-180.70096268169533,-126.85445470648213
59,-178.88931942305686,-126.85445470648213
60,-184.98726391401811,-126.85445470648213
61,-183.68387713659573,-126.85445470648213
62,-188.67187589973742,-126.85445470648213
63,-188.17540946703738,-126.85445470648213
64,-192.40818953827903,-126.85445470648213
65,-191.8728044795668,-126.85445470648213
66,-192.1026244464084,-126.85445470648213
67,-192.33331778996686,-126.85445470648213
68,-195.49809240913373,-126.85445470648213
69,-196.26570859468177,-126.85445470648213
70,-194.52180862916117,-126.85445470648213
71,-194.57870527742006,-126.85445470648213
72,-196.42723682944123,-126.85445470648213
73,-196.13254363113748,-126.85445470648213
74,-196.12769087204296,-126.85445470648213
75,-196.7186619344962,-126.85445470648213
76,-195.4868690201031,-126.85445470648213
77,-194.23761836588918,-126.85445470648213
78,-194.75688456572328,-126.85445470648213
79,-197.22957783932327,-126.85445470648213
80,-196.45382568352096,-126.85445470648213
81,-195.32875410467886,-126.85445470648213
82,-193.2832249373074,-126.85445470648213
83,-195.34839676152504,-126.85445470648213
84,-194.4292963514976,-126.85445470648213
85,-193.0063016059019,-126.85445470648213
86,-193.13951018926065,-126.85445470648213
87,-193.2731651217353,-126.85445470648213
88,-194.5775103654855,-126.85445470648213
89,-196.9803821135756,-126.85445470648213
90,-196.36257215298465,-126.85445470648213
91,-195.27911752656576,-126.85445470648213
92,-195.36124073673273,-126.85445470648213
93,-195.92226453543427,-126.85445470648213
94,-195.47626739881588,-126.85445470648213
95,-195.17104641243048,-126.85445470648213
96,-194.62502397305693,-126.85445470648213
97,-193.59646062102715,-126.85445470648213
98,-192.9214373689851,-126.85445470648213
99,-192.21403575136367,-126.85445470648213
100,-194.04355507578578,-126.85445470648213
101,-192.44915986012182,-126.85445470648213
102,-193.14697298043856,-126.85445470648213
103,-193.08378810103454,-126.85445470648213
104,-194.51231587410123,-126.85445470648213
105,-194.10889936704748,-126.85445470648213
106,-193.78132404276502,-126.85445470648213
107,-192.5228153120423,-126.85445470648213
108,-195.01761603977948,-126.85445470648213
109,-197.46031722439835,-126.85445470648213
110,-197.0678626716618,-126.85445470648213
111,-197.00423499656972,-126.85445470648213
112,-195.0928368587042,-126.85445470648213
113,-192.0766745795717,-126.85445470648213
114,-191.1845210042576,-126.85445470648213
115,-190.26638859349177,-126.85445470648213
116,-190.36434925888702,-126.85445470648213
117,-187.04466841706272,-126.85445470648213
118,-187.00741033116944,-126.85445470648213
119,-185.2768020388286,-126.85445470648213
120,-184.46877098952965,-126.85445470648213
121,-186.20454953513013,-126.85445470648213
122,-185.09663585836395,-126.85445470648213
123,-184.3981871235544,-126.85445470648213
124,-182.59988361721938,-126.85445470648213
125,-182.25465544724665,-126.85445470648213
126,-182.19950297522865,-126.85445470648213
127,-180.9217449971671,-126.85445470648213
128,-181.74396982276295,-126.85445470648213
129,-182.0889055853014,-126.85445470648213
130,-185.81589775908765,-126.85445470648213
131,-187.7707624333783,-126.85445470648213
132,-185.51948130044747,-126.85445470648213
133,-185.7326013199978,-126.85445470648213
134,-184.0211739189086,-126.85445470648213
135,-180.31839991009764,-126.85445470648213
136,-180.82347448693403,-126.85445470648213
137,-181.70313288294153,-126.85445470648213
138,-184.42341798938367,-126.85445470648213
