episode,average_score,best_score
1,800.0,800.0
2,400.0,800.0
3,266.6666666666667,800.0
4,200.0,800.0
5,160.0,800.0
6,133.33333333333334,800.0
7,114.28571428571429,800.0
8,100.0,800.0
9,88.88888888888889,800.0
10,240.0,800.0
11,218.1818181818182,800.0
12,266.6666666666667,800.0
13,246.15384615384616,800.0
14,342.85714285714283,800.0
15,320.0,800.0
16,300.0,800.0
17,282.3529411764706,800.0
18,311.1111111111111,800.0
19,294.7368421052632,800.0
20,280.0,800.0
21,266.6666666666667,800.0
22,254.54545454545453,800.0
23,243.47826086956522,800.0
24,233.33333333333334,800.0
25,224.0,800.0
26,215.3846153846154,800.0
27,207.40740740740742,800.0
28,200.0,800.0
29,220.68965517241378,800.0
30,213.33333333333334,800.0
31,206.4516129032258,800.0
32,200.0,800.0
33,193.93939393939394,800.0
34,188.23529411764707,800.0
35,182.85714285714286,800.0
36,177.77777777777777,800.0
37,172.97297297297297,800.0
38,189.47368421052633,800.0
39,205.12820512820514,800.0
40,200.0,800.0
41,214.6341463414634,800.0
42,209.52380952380952,800.0
43,204.65116279069767,800.0
44,200.0,800.0
45,195.55555555555554,800.0
46,191.30434782608697,800.0
47,187.2340425531915,800.0
48,216.66666666666666,800.0
49,212.24489795918367,800.0
50,240.0,800.0
51,250.98039215686273,800.0
52,246.15384615384616,800.0
53,241.50943396226415,800.0
54,237.03703703703704,800.0
55,232.72727272727272,800.0
56,228.57142857142858,800.0
57,224.56140350877192,800.0
58,220.68965517241378,800.0
59,216.94915254237287,800.0
60,213.33333333333334,800.0
61,236.0655737704918,800.0
62,232.25806451612902,800.0
63,228.57142857142858,800.0
64,225.0,800.0
65,221.53846153846155,800.0
66,242.42424242424244,800.0
67,238.80597014925374,800.0
68,258.8235294117647,800.0
69,278.2608695652174,800.0
70,297.14285714285717,800.0
71,304.22535211267603,800.0
72,300.0,800.0
73,295.8904109589041,800.0
74,291.8918918918919,800.0
75,288.0,800.0
76,284.2105263157895,800.0
77,280.5194805194805,800.0
78,297.43589743589746,800.0
79,293.67088607594934,800.0
80,290.0,800.0
81,286.41975308641975,800.0
82,282.9268292682927,800.0
83,298.7951807228916,800.0
84,295.23809523809524,800.0
85,291.7647058823529,800.0
86,288.3720930232558,800.0
87,285.0574712643678,800.0
88,300.0,800.0
89,296.6292134831461,800.0
90,293.3333333333333,800.0
91,290.1098901098901,800.0
92,286.95652173913044,800.0
93,283.8709677419355,800.0
94,280.8510638297872,800.0
95,277.89473684210526,800.0
96,275.0,800.0
97,272.16494845360825,800.0
98,269.38775510204084,800.0
99,266.6666666666667,800.0
100,264.0,800.0
101,256.0,800.0
102,272.0,800.0
103,272.0,800.0
104,272.0,800.0
105,272.0,800.0
106,272.0,800.0
107,272.0,800.0
108,272.0,800.0
109,272.0,800.0
110,256.0,800.0
111,256.0,800.0
112,248.0,800.0
113,248.0,800.0
114,248.0,800.0
115,248.0,800.0
116,248.0,800.0
117,248.0,800.0
118,240.0,800.0
119,240.0,800.0
120,240.0,800.0
121,240.0,800.0
122,256.0,800.0
123,256.0,800.0
124,256.0,800.0
125,256.0,800.0
126,256.0,800.0
127,256.0,800.0
128,256.0,800.0
129,248.0,800.0
130,248.0,800.0
131,248.0,800.0
132,248.0,800.0
