episode,average_score,best_score
1,320.0,320.0
2,290.0,320.0
3,273.3333333333333,320.0
4,305.0,320.0
5,302.0,320.0
6,293.3333333333333,320.0
7,277.14285714285717,320.0
8,278.75,320.0
9,270.0,320.0
10,263.0,320.0
11,250.9090909090909,320.0
12,255.83333333333334,320.0
13,260.7692307692308,320.0
14,252.85714285714286,320.0
15,245.33333333333334,320.0
16,240.625,320.0
17,240.0,320.0
18,243.33333333333334,320.0
19,237.3684210526316,320.0
20,234.5,320.0
21,233.33333333333334,320.0
22,233.63636363636363,320.0
23,231.30434782608697,320.0
24,230.41666666666666,320.0
25,228.4,320.0
26,227.69230769230768,320.0
27,225.92592592592592,320.0
28,226.78571428571428,320.0
29,230.0,320.0
30,232.0,320.0
31,230.96774193548387,320.0
32,231.875,320.0
33,232.42424242424244,320.0
34,229.7058823529412,320.0
35,228.57142857142858,320.0
36,228.61111111111111,320.0
37,227.2972972972973,320.0
38,226.05263157894737,320.0
39,225.64102564102564,320.0
40,226.0,320.0
41,227.5609756097561,320.0
42,226.66666666666666,320.0
43,228.6046511627907,320.0
44,241.13636363636363,320.0
45,256.8888888888889,320.0
46,255.2173913043478,320.0
47,262.5531914893617,320.0
48,263.3333333333333,320.0
49,260.40816326530614,320.0
50,264.6,320.0
51,262.94117647058823,320.0
52,262.11538461538464,320.0
53,260.5660377358491,320.0
54,258.7037037037037,320.0
55,258.3636363636364,320.0
56,260.35714285714283,320.0
57,260.70175438596493,320.0
58,260.3448275862069,320.0
59,258.8135593220339,320.0
60,259.5,320.0
61,260.8196721311475,320.0
62,261.4516129032258,320.0
63,260.1587301587302,320.0
64,259.375,320.0
65,259.38461538461536,320.0
66,258.93939393939394,320.0
67,258.2089552238806,320.0
68,257.6470588235294,320.0
69,256.81159420289856,320.0
70,254.14285714285714,320.0
71,254.08450704225353,320.0
72,252.77777777777777,320.0
73,252.05479452054794,320.0
74,253.1081081081081,320.0
75,252.53333333333333,320.0
76,251.18421052631578,320.0
77,250.7792207792208,320.0
78,250.51282051282053,320.0
79,249.74683544303798,320.0
80,250.5,320.0
81,250.12345679012347,320.0
82,250.2439024390244,320.0
83,248.55421686746988,320.0
84,248.6904761904762,320.0
85,246.94117647058823,320.0
86,247.4418604651163,320.0
87,246.7816091954023,320.0
88,246.70454545454547,320.0
89,246.85393258426967,320.0
90,246.44444444444446,320.0
91,251.3186813186813,320.0
92,250.7608695652174,320.0
93,251.50537634408602,320.0
94,251.70212765957447,320.0
95,250.8421052631579,320.0
96,251.14583333333334,320.0
97,250.41237113402062,320.0
98,250.51020408163265,320.0
99,250.0,320.0
100,249.4,320.0
101,249.1,320.0
102,249.1,320.0
103,250.6,320.0
104,248.4,320.0
105,247.3,320.0
106,246.4,320.0
107,247.0,320.0
108,246.9,320.0
109,246.3,320.0
110,247.1,320.0
111,247.7,320.0
112,246.7,320.0
113,245.7,320.0
114,246.9,320.0
115,247.4,320.0
116,247.4,320.0
117,249.3,320.0
118,249.1,320.0
119,249.6,320.0
120,254.2,320.0
121,254.6,320.0
122,254.3,320.0
123,254.5,320.0
124,254.6,320.0
125,255.5,320.0
126,256.1,320.0
127,256.9,320.0
128,256.7,320.0
129,255.3,320.0
130,255.1,320.0
131,255.1,320.0
132,255.8,320.0
133,256.6,320.0
134,256.9,320.0
135,256.6,320.0
136,258.0,320.0
137,258.9,320.0
138,260.2,320.0
139,259.8,320.0
140,259.8,320.0
141,259.0,320.0
142,259.2,320.0
143,258.2,320.0
144,253.2,320.0
145,246.4,320.0
146,246.4,320.0
147,242.5,320.0
148,241.8,320.0
149,244.5,320.0
150,248.7,320.0
151,248.3,320.0
152,257.2,320.0
153,258.4,320.0
154,263.5,320.0
155,263.7,320.0
156,263.4,320.0
157,262.2,320.0
158,262.1,320.0
159,261.8,320.0
160,261.5,320.0
161,262.2,320.0
162,262.1,320.0
163,261.6,320.0
164,261.6,320.0
165,261.4,320.0
166,261.4,320.0
167,261.0,320.0
168,262.1,320.0
169,261.7,320.0
170,262.5,320.0
171,262.7,320.0
172,262.9,320.0
173,264.2,320.0
174,263.0,320.0
175,262.1,320.0
176,262.9,320.0
177,267.0,320.0
178,267.4,320.0
179,267.2,320.0
180,266.2,320.0
181,266.6,320.0
182,265.8,320.0
183,268.3,320.0
184,269.3,320.0
185,270.5,320.0
186,269.3,320.0
187,269.7,320.0
188,270.4,320.0
189,270.1,320.0
190,271.2,320.0
191,267.2,320.0
192,266.5,320.0
193,266.7,320.0
194,266.5,320.0
195,267.4,320.0
196,267.9,320.0
197,269.6,320.0
198,268.7,320.0
199,277.5,320.0
200,278.0,320.0
201,277.3,320.0
202,277.4,320.0
203,274.5,320.0
204,274.3,320.0
205,274.3,320.0
206,274.2,320.0
207,273.8,320.0
208,273.9,320.0
209,275.2,320.0
210,274.9,320.0
211,275.3,320.0
212,275.5,320.0
213,275.7,320.0
214,274.2,320.0
215,274.8,320.0
216,274.7,320.0
217,272.5,320.0
218,272.7,320.0
219,272.5,320.0
220,268.6,320.0
221,267.7,320.0
222,268.2,320.0
223,268.3,320.0
224,268.2,320.0
225,267.5,320.0
226,267.5,320.0
227,266.9,320.0
228,267.6,320.0
229,277.4,320.0
230,277.0,320.0
231,276.5,320.0
232,276.1,320.0
233,275.3,320.0
234,275.8,320.0
235,277.3,320.0
236,275.3,320.0
237,274.4,320.0
238,274.5,320.0
239,275.1,320.0
240,275.1,320.0
241,274.6,320.0
242,274.2,320.0
243,273.8,320.0
244,274.1,320.0
245,273.9,320.0
246,275.2,320.0
247,275.8,320.0
248,276.4,320.0
249,275.6,320.0
250,300.5,320.0
251,302.4,320.0
252,294.3,320.0
253,292.7,320.0
254,288.1,320.0
255,290.4,320.0
256,288.8,320.0
257,290.4,320.0
258,290.4,320.0
259,291.7,320.0
260,291.4,320.0
261,288.8,320.0
262,288.6,320.0
263,289.5,320.0
264,288.8,320.0
265,288.1,320.0
266,286.7,320.0
267,287.8,320.0
268,286.7,320.0
269,287.7,320.0
270,288.2,320.0
271,288.2,320.0
272,288.8,320.0
273,289.2,320.0
274,290.1,320.0
275,290.7,320.0
276,290.1,320.0
277,286.0,320.0
278,285.7,320.0
279,286.4,320.0
280,286.8,320.0
281,290.7,320.0
282,290.3,320.0
283,288.4,320.0
284,288.4,320.0
285,288.4,320.0
286,289.2,320.0
287,289.5,320.0
288,288.2,320.0
289,288.2,320.0
290,286.2,320.0
291,285.7,320.0
292,287.1,320.0
293,286.1,320.0
294,285.3,320.0
295,284.9,320.0
296,284.9,320.0
297,283.9,320.0
298,284.6,320.0
299,276.5,320.0
300,276.3,320.0
301,276.3,320.0
302,275.8,320.0
303,278.0,320.0
304,279.9,320.0
305,281.1,320.0
306,282.3,320.0
307,282.6,320.0
308,282.5,320.0
309,281.3,320.0
310,281.2,320.0
311,281.1,320.0
312,280.9,320.0
313,282.4,320.0
314,283.7,320.0
315,286.2,320.0
316,288.6,320.0
317,288.5,320.0
318,288.2,320.0
319,288.6,320.0
320,288.6,320.0
321,293.2,320.0
322,293.2,320.0
323,293.1,320.0
324,293.3,320.0
325,294.3,320.0
326,293.3,320.0
327,294.2,320.0
