episode,average_score,best_score
1,-20.0,-20.0
2,-20.5,-20.0
3,-20.333333333333332,-20.0
4,-20.5,-20.0
5,-20.4,-20.0
6,-20.333333333333332,-20.0
7,-20.428571428571427,-20.0
8,-20.5,-20.0
9,-20.444444444444443,-20.0
10,-20.5,-20.0
11,-20.454545454545453,-20.0
12,-20.416666666666668,-20.0
13,-20.307692307692307,-20.0
14,-20.357142857142858,-20.0
15,-20.2,-20.0
16,-20.125,-20.0
17,-20.058823529411764,-20.0
18,-20.0,-20.0
19,-20.0,-20.0
20,-20.05,-20.0
21,-20.047619047619047,-20.0
22,-20.09090909090909,-20.0
23,-20.130434782608695,-20.0
24,-20.125,-20.0
25,-20.0,-20.0
26,-20.0,-20.0
27,-20.0,-20.0
28,-20.035714285714285,-20.0
29,-20.0,-20.0
30,-20.033333333333335,-20.0
31,-20.06451612903226,-20.0
32,-20.0625,-20.0
33,-20.09090909090909,-20.0
34,-20.11764705882353,-20.0
35,-20.142857142857142,-20.0
36,-20.11111111111111,-20.0
37,-20.135135135135137,-20.0
38,-20.13157894736842,-20.0
39,-20.153846153846153,-20.0
40,-20.125,-20.0
41,-20.146341463414632,-20.0
42,-20.166666666666668,-20.0
43,-20.162790697674417,-20.0
44,-20.15909090909091,-20.0
45,-20.177777777777777,-20.0
46,-20.195652173913043,-20.0
47,-20.19148936170213,-20.0
48,-20.1875,-20.0
49,-20.20408163265306,-20.0
50,-20.22,-20.0
51,-20.19607843137255,-20.0
52,-20.21153846153846,-20.0
53,-20.20754716981132,-20.0
54,-20.203703703703702,-20.0
55,-20.2,-20.0
56,-20.214285714285715,-20.0
57,-20.228070175438596,-20.0
58,-20.224137931034484,-20.0
59,-20.220338983050848,-20.0
60,-20.233333333333334,-20.0
61,-20.24590163934426,-20.0
62,-20.241935483870968,-20.0
63,-20.238095238095237,-20.0
64,-20.203125,-20.0
65,-20.215384615384615,-20.0
66,-20.196969696969695,-20.0
67,-20.208955223880597,-20.0
68,-20.220588235294116,-20.0
69,-20.217391304347824,-20.0
70,-20.185714285714287,-20.0
71,-20.197183098591548,-20.0
72,-20.194444444444443,-20.0
73,-20.205479452054796,-20.0
74,-20.216216216216218,-20.0
75,-20.226666666666667,-20.0
76,-20.236842105263158,-20.0
77,-20.233766233766232,-20.0
78,-20.243589743589745,-20.0
79,-20.240506329113924,-20.0
80,-20.25,-20.0
81,-20.246913580246915,-20.0
82,-20.23170731707317,-20.0
83,-20.228915662650603,-20.0
84,-20.238095238095237,-20.0
85,-20.211764705882352,-20.0
86,-20.22093023255814,-20.0
87,-20.2183908045977,-20.0
88,-20.21590909090909,-20.0
89,-20.213483146067414,-20.0
90,-20.2,-20.0
91,-20.197802197802197,-20.0
92,-20.206521739130434,-20.0
93,-20.204301075268816,-20.0
94,-20.20212765957447,-20.0
95,-20.2,-20.0
96,-20.197916666666668,-20.0
97,-20.195876288659793,-20.0
98,-20.183673469387756,-20.0
99,-20.19191919191919,-20.0
100,-20.17,-20.0
101,-20.18,-20.0
102,-20.18,-20.0
103,-20.17,-20.0
104,-20.17,-20.0
105,-20.16,-20.0
106,-20.16,-20.0
107,-20.15,-20.0
108,-20.14,-20.0
109,-20.15,-20.0
110,-20.15,-20.0
111,-20.15,-20.0
112,-20.15,-20.0
113,-20.16,-20.0
114,-20.16,-20.0
115,-20.19,-20.0
116,-20.21,-20.0
117,-20.23,-20.0
118,-20.25,-20.0
119,-20.25,-20.0
120,-20.24,-20.0
121,-20.24,-20.0
122,-20.23,-20.0
123,-20.21,-20.0
124,-20.22,-20.0
125,-20.26,-20.0
126,-20.27,-20.0
127,-20.27,-20.0
128,-20.27,-20.0
129,-20.29,-20.0
130,-20.28,-20.0
131,-20.28,-20.0
132,-20.28,-20.0
133,-20.28,-20.0
134,-20.26,-20.0
135,-20.26,-20.0
136,-20.27,-20.0
137,-20.27,-20.0
138,-20.28,-20.0
139,-20.28,-20.0
140,-20.29,-20.0
141,-20.28,-20.0
142,-20.28,-20.0
143,-20.28,-20.0
144,-20.28,-20.0
145,-20.28,-20.0
146,-20.27,-20.0
147,-20.28,-20.0
148,-20.29,-20.0
149,-20.28,-20.0
150,-20.28,-20.0
151,-20.3,-20.0
152,-20.27,-20.0
153,-20.28,-20.0
154,-20.28,-20.0
155,-20.28,-20.0
156,-20.28,-20.0
157,-20.27,-20.0
158,-20.26,-20.0
159,-20.27,-20.0
160,-20.26,-20.0
161,-20.25,-20.0
162,-20.26,-20.0
163,-20.27,-20.0
164,-20.3,-20.0
165,-20.3,-20.0
166,-20.32,-20.0
167,-20.32,-20.0
168,-20.3,-20.0
169,-20.3,-20.0
170,-20.32,-20.0
171,-20.31,-20.0
172,-20.32,-20.0
173,-20.31,-20.0
174,-20.31,-20.0
175,-20.27,-20.0
176,-20.26,-20.0
177,-20.27,-20.0
178,-20.27,-20.0
179,-20.26,-20.0
180,-20.26,-20.0
181,-20.26,-20.0
182,-20.28,-20.0
183,-20.29,-20.0
184,-20.29,-20.0
185,-20.31,-20.0
186,-20.29,-20.0
187,-20.3,-20.0
188,-20.28,-20.0
189,-20.28,-20.0
190,-20.3,-20.0
191,-20.31,-20.0
192,-20.3,-20.0
193,-20.3,-20.0
194,-20.29,-20.0
195,-20.29,-20.0
196,-20.28,-20.0
197,-20.28,-20.0
198,-20.29,-20.0
199,-20.28,-20.0
200,-20.3,-20.0
201,-20.29,-20.0
202,-20.27,-20.0
203,-20.29,-20.0
204,-20.28,-20.0
205,-20.28,-20.0
206,-20.28,-20.0
207,-20.29,-20.0
208,-20.29,-20.0
209,-20.29,-20.0
210,-20.28,-20.0
211,-20.29,-20.0
212,-20.3,-20.0
213,-20.3,-20.0
214,-20.29,-20.0
215,-20.28,-20.0
216,-20.28,-20.0
217,-20.28,-20.0
218,-20.27,-20.0
219,-20.28,-20.0
220,-20.29,-20.0
221,-20.29,-20.0
222,-20.29,-20.0
223,-20.3,-20.0
224,-20.29,-20.0
