episode,average_score,best_score
1,105.0,105.0
2,160.0,160.0
3,138.33333333333334,160.0
4,136.25,160.0
5,122.0,160.0
6,123.33333333333333,160.0
7,117.14285714285714,160.0
8,115.625,160.0
9,113.33333333333333,160.0
10,110.0,160.0
11,115.9090909090909,160.0
12,117.5,160.0
13,128.84615384615384,160.0
14,134.64285714285714,160.0
15,143.0,160.0
16,136.5625,160.0
17,135.58823529411765,160.0
18,136.66666666666666,160.0
19,131.31578947368422,160.0
20,129.25,160.0
21,125.23809523809524,160.0
22,125.0,160.0
23,128.04347826086956,160.0
24,124.58333333333333,160.0
25,128.0,160.0
26,131.15384615384616,160.0
27,131.2962962962963,160.0
28,127.67857142857143,160.0
29,128.6206896551724,160.0
30,127.66666666666667,160.0
31,124.19354838709677,160.0
32,124.53125,160.0
33,124.84848484848484,160.0
34,126.02941176470588,160.0
35,125.28571428571429,160.0
36,124.86111111111111,160.0
37,125.67567567567568,160.0
38,125.65789473684211,160.0
39,126.15384615384616,160.0
40,127.5,160.0
41,125.1219512195122,160.0
42,125.83333333333333,160.0
43,126.04651162790698,160.0
44,123.97727272727273,160.0
45,122.0,160.0
46,120.54347826086956,160.0
47,124.68085106382979,160.0
48,125.10416666666667,160.0
49,126.22448979591837,160.0
50,125.0,160.0
51,125.68627450980392,160.0
52,126.25,160.0
53,126.13207547169812,160.0
54,125.27777777777777,160.0
55,132.9090909090909,160.0
56,132.76785714285714,160.0
57,131.8421052631579,160.0
58,136.3793103448276,160.0
59,138.22033898305085,160.0
60,136.91666666666666,160.0
61,135.98360655737704,160.0
62,135.88709677419354,160.0
63,134.20634920634922,160.0
64,132.96875,160.0
65,131.6153846153846,160.0
66,131.21212121212122,160.0
67,131.19402985074626,160.0
68,132.35294117647058,160.0
69,131.95652173913044,160.0
70,131.21428571428572,160.0
71,129.85915492957747,160.0
72,128.125,160.0
73,128.21917808219177,160.0
74,128.85135135135135,160.0
75,128.93333333333334,160.0
76,128.68421052631578,160.0
77,129.02597402597402,160.0
78,128.2051282051282,160.0
79,127.9113924050633,160.0
80,127.625,160.0
81,128.2716049382716,160.0
82,131.03658536585365,160.0
83,130.5421686746988,160.0
84,130.29761904761904,160.0
85,130.05882352941177,160.0
86,135.40697674418604,160.0
87,136.60919540229884,160.0
88,135.9090909090909,160.0
89,135.61797752808988,160.0
90,135.38888888888889,160.0
91,135.3846153846154,160.0
92,137.1195652173913,160.0
93,136.18279569892474,160.0
94,135.2659574468085,160.0
95,134.68421052631578,160.0
96,135.20833333333334,160.0
97,135.05154639175257,160.0
98,135.05102040816325,160.0
99,135.6060606060606,160.0
100,135.8,160.0
101,135.3,160.0
102,133.7,160.0
103,134.15,160.0
104,134.65,160.0
105,135.55,160.0
106,138.1,160.0
107,137.95,160.0
108,138.15,160.0
109,138.0,160.0
110,138.65,160.0
111,138.55,160.0
112,137.85,160.0
113,136.45,160.0
114,135.15,160.0
115,134.2,160.0
116,134.9,160.0
117,136.05,160.0
118,135.3,160.0
119,135.95,160.0
120,136.05,160.0
121,136.15,160.0
122,135.5,160.0
123,134.6,160.0
124,135.95,160.0
125,134.95,160.0
126,133.6,160.0
127,133.05,160.0
128,135.05,160.0
129,134.55,160.0
130,134.6,160.0
131,135.6,160.0
132,136.35,160.0
133,136.05,160.0
134,135.5,160.0
135,136.35,160.0
136,135.85,160.0
137,136.1,160.0
138,136.95,160.0
139,136.55,160.0
140,135.55,160.0
141,137.35,160.0
142,136.4,160.0
143,135.85,160.0
144,136.8,160.0
145,136.75,160.0
146,137.4,160.0
147,135.3,160.0
148,136.45,160.0
149,135.3,160.0
150,137.8,160.0
151,138.0,160.0
152,139.8,160.0
153,140.25,160.0
154,140.0,160.0
155,136.75,160.0
156,135.95,160.0
157,135.55,160.0
158,131.9,160.0
159,132.05,160.0
160,132.1,160.0
161,133.25,160.0
162,134.45,160.0
163,136.25,160.0
164,137.8,160.0
165,138.05,160.0
166,138.2,160.0
167,138.15,160.0
168,136.95,160.0
169,137.0,160.0
170,138.0,160.0
171,139.2,160.0
172,139.6,160.0
